지역,월,일시,시간,승차,하차,전체
경기도 고양시 덕양구 창릉동,1,평일,06시~07시,83 ,81 ,164 
경기도 고양시 덕양구 창릉동,1,평일,07시~08시,229 ,145 ,374 
경기도 고양시 덕양구 창릉동,1,평일,08시~09시,241 ,409 ,650 
경기도 고양시 덕양구 창릉동,1,평일,09시~10시,119 ,351 ,470 
경기도 고양시 덕양구 창릉동,1,평일,10시~11시,87 ,183 ,270 
경기도 고양시 덕양구 창릉동,1,평일,11시~12시,93 ,219 ,312 
경기도 고양시 덕양구 창릉동,1,평일,12시~13시,98 ,271 ,369 
경기도 고양시 덕양구 창릉동,1,평일,13시~14시,137 ,270 ,407 
경기도 고양시 덕양구 창릉동,1,평일,14시~15시,179 ,229 ,408 
경기도 고양시 덕양구 창릉동,1,평일,15시~16시,204 ,190 ,394 
경기도 고양시 덕양구 창릉동,1,평일,16시~17시,247 ,225 ,472 
경기도 고양시 덕양구 창릉동,1,평일,17시~18시,283 ,232 ,515 
경기도 고양시 덕양구 창릉동,1,평일,18시~19시,384 ,264 ,648 
경기도 고양시 덕양구 창릉동,1,평일,19시~20시,287 ,325 ,612 
경기도 고양시 덕양구 창릉동,1,평일,20시~21시,197 ,145 ,342 
경기도 고양시 덕양구 창릉동,1,평일,21시~22시,206 ,110 ,316 
경기도 고양시 덕양구 창릉동,1,평일,22시~23시,304 ,112 ,416 
경기도 고양시 덕양구 창릉동,1,평일,23시~24시,36 ,45 ,81 
경기도 고양시 덕양구 창릉동,1,평일,00시~01시,3 ,2 ,5 
경기도 고양시 덕양구 창릉동,1,평일,주간,2301 ,2988 ,5289 
경기도 고양시 덕양구 창릉동,1,평일,전일,3422 ,3811 ,7233 
경기도 고양시 덕양구 창릉동,1,주말,05시~06시,1 ,2 ,3 
경기도 고양시 덕양구 창릉동,1,주말,06시~07시,24 ,75 ,99 
경기도 고양시 덕양구 창릉동,1,주말,07시~08시,48 ,79 ,127 
경기도 고양시 덕양구 창릉동,1,주말,08시~09시,60 ,179 ,239 
경기도 고양시 덕양구 창릉동,1,주말,09시~10시,67 ,320 ,387 
경기도 고양시 덕양구 창릉동,1,주말,10시~11시,71 ,177 ,248 
경기도 고양시 덕양구 창릉동,1,주말,11시~12시,113 ,256 ,369 
경기도 고양시 덕양구 창릉동,1,주말,12시~13시,111 ,334 ,445 
경기도 고양시 덕양구 창릉동,1,주말,13시~14시,121 ,345 ,466 
경기도 고양시 덕양구 창릉동,1,주말,14시~15시,124 ,257 ,381 
경기도 고양시 덕양구 창릉동,1,주말,15시~16시,215 ,280 ,495 
경기도 고양시 덕양구 창릉동,1,주말,16시~17시,303 ,242 ,545 
경기도 고양시 덕양구 창릉동,1,주말,17시~18시,333 ,248 ,581 
경기도 고양시 덕양구 창릉동,1,주말,18시~19시,369 ,224 ,593 
경기도 고양시 덕양구 창릉동,1,주말,19시~20시,274 ,152 ,426 
경기도 고양시 덕양구 창릉동,1,주말,20시~21시,263 ,150 ,413 
경기도 고양시 덕양구 창릉동,1,주말,21시~22시,319 ,91 ,410 
경기도 고양시 덕양구 창릉동,1,주말,22시~23시,391 ,86 ,477 
경기도 고양시 덕양구 창릉동,1,주말,23시~24시,50 ,40 ,90 
경기도 고양시 덕양구 창릉동,1,주말,00시~01시,15 ,10 ,25 
경기도 고양시 덕양구 창릉동,1,주말,주간,1935 ,2941 ,4876 
경기도 고양시 덕양구 창릉동,1,주말,전일,3272 ,3547 ,6819 
경기도 고양시 덕양구 고양동,1,평일,01시~02시,-,4 ,4 
경기도 고양시 덕양구 고양동,1,평일,04시~05시,2 ,-,2 
경기도 고양시 덕양구 고양동,1,평일,05시~06시,172 ,29 ,201 
경기도 고양시 덕양구 고양동,1,평일,06시~07시,424 ,109 ,533 
경기도 고양시 덕양구 고양동,1,평일,07시~08시,973 ,330 ,1303 
경기도 고양시 덕양구 고양동,1,평일,08시~09시,870 ,552 ,1422 
경기도 고양시 덕양구 고양동,1,평일,09시~10시,733 ,449 ,1182 
경기도 고양시 덕양구 고양동,1,평일,10시~11시,614 ,414 ,1028 
경기도 고양시 덕양구 고양동,1,평일,11시~12시,561 ,431 ,992 
경기도 고양시 덕양구 고양동,1,평일,12시~13시,679 ,452 ,1131 
경기도 고양시 덕양구 고양동,1,평일,13시~14시,570 ,465 ,1035 
경기도 고양시 덕양구 고양동,1,평일,14시~15시,557 ,534 ,1091 
경기도 고양시 덕양구 고양동,1,평일,15시~16시,540 ,583 ,1123 
경기도 고양시 덕양구 고양동,1,평일,16시~17시,616 ,725 ,1341 
경기도 고양시 덕양구 고양동,1,평일,17시~18시,615 ,649 ,1264 
경기도 고양시 덕양구 고양동,1,평일,18시~19시,647 ,867 ,1514 
경기도 고양시 덕양구 고양동,1,평일,19시~20시,363 ,821 ,1184 
경기도 고양시 덕양구 고양동,1,평일,20시~21시,248 ,608 ,856 
경기도 고양시 덕양구 고양동,1,평일,21시~22시,273 ,539 ,812 
경기도 고양시 덕양구 고양동,1,평일,22시~23시,195 ,497 ,692 
경기도 고양시 덕양구 고양동,1,평일,23시~24시,81 ,302 ,383 
경기도 고양시 덕양구 고양동,1,평일,00시~01시,17 ,80 ,97 
경기도 고양시 덕양구 고양동,1,평일,주간,7975 ,6451 ,14426 
경기도 고양시 덕양구 고양동,1,평일,전일,9750 ,9440 ,19190 
경기도 고양시 덕양구 고양동,1,주말,01시~02시,1 ,6 ,7 
경기도 고양시 덕양구 고양동,1,주말,04시~05시,4 ,1 ,5 
경기도 고양시 덕양구 고양동,1,주말,05시~06시,105 ,22 ,127 
경기도 고양시 덕양구 고양동,1,주말,06시~07시,185 ,78 ,263 
경기도 고양시 덕양구 고양동,1,주말,07시~08시,359 ,208 ,567 
경기도 고양시 덕양구 고양동,1,주말,08시~09시,619 ,280 ,899 
경기도 고양시 덕양구 고양동,1,주말,09시~10시,630 ,381 ,1011 
경기도 고양시 덕양구 고양동,1,주말,10시~11시,617 ,328 ,945 
경기도 고양시 덕양구 고양동,1,주말,11시~12시,578 ,365 ,943 
경기도 고양시 덕양구 고양동,1,주말,12시~13시,645 ,437 ,1082 
경기도 고양시 덕양구 고양동,1,주말,13시~14시,547 ,412 ,959 
경기도 고양시 덕양구 고양동,1,주말,14시~15시,441 ,413 ,854 
