업종명,업소명,소재지(도로명),소재지(지번),소재지전화
단란주점,씨밀레,"경기도 고양시 덕양구 호국로 781 (주교동,3층 일부)",경기도 고양시 덕양구 주교동 614번지 5호 3층 일부 ,031 -965 -5388
단란주점,휘앙새,"경기도 고양시 덕양구 원당로 63-1 (주교동, 지층)",경기도 고양시 덕양구 주교동 585번지 14호 지층 ,031 -965 -5666
단란주점,뽕짝라이브클럽,"경기도 고양시 덕양구 호국로779번길 15, 1(일부)층 (주교동, 이화빌딩)",경기도 고양시 덕양구 주교동 610번지 1호 이화빌딩 1(일부)층 ,031 -965 -9418
단란주점,팡팡7080라이브,"경기도 고양시 덕양구 마상로134번길 72, 지하1(일부)층 (주교동)",경기도 고양시 덕양구 주교동 612번지 2호 지하1층 일부 ,031 -966 -0445
단란주점,투월드뮤직,"경기도 고양시 덕양구 호국로 780 (성사동,(지하1층))",경기도 고양시 덕양구 성사동 698번지 7호 (지하1층) ,031 -966 -5363
단란주점,스캔들단란주점,"경기도 고양시 덕양구 호국로789번길 7 (주교동,지하1층 B102-1)",경기도 고양시 덕양구 주교동 614번지 지하1층 B102-1 ,031 -966 -7301
단란주점,세븐단란주점,"경기도 고양시 덕양구 고양대로 1359-14 (성사동,오영빌딩 지하)",경기도 고양시 덕양구 성사동 700번지 오영빌딩 지하 ,031 -967 -7708
단란주점,풍차,"경기도 고양시 덕양구 마상로140번길 62 (주교동, 지하1층일부)",경기도 고양시 덕양구 주교동 616번지 3호 지하1층일부 ,031 -968 -1131
단란주점,7080라이브거래처,"경기도 고양시 덕양구 호국로789번길 29, 지하1(일부)층 (주교동)",경기도 고양시 덕양구 주교동 612번지 지하1(일부)층 ,031 -968 -1577
단란주점,콘서트7080라이브,"경기도 고양시 덕양구 호국로 778-11, 2층 (성사동)",경기도 고양시 덕양구 성사동 698번지 4호 2층 ,031 -968 -6780
단란주점,라이브만수야,"경기도 고양시 덕양구 원당로33번길 11, 지하1층 (주교동)",경기도 고양시 덕양구 주교동 606번지 2호 지하1층 ,031 -969 -4877
단란주점,7080추억여행,"경기도 고양시 덕양구 통일로 776-3, 지하1층 일부호 (관산동)",경기도 고양시 덕양구 관산동 231번지 1호 지하1층 일부 ,031 -969 -5004
단란주점,모나코,"경기도 고양시 덕양구 혜음로 58-1, 지하1층 (고양동)",경기도 고양시 덕양구 고양동 167번지 지하1층 ,031 -9693-326
단란주점,라이브클럽7080씨야겐,"경기도 고양시 덕양구 화신로272번길 52 (화정동,원빈프라자 3층 302호)",경기도 고양시 덕양구 화정동 981번지 원빈프라자 3층 302호 ,031 -978 -5788
유흥주점,새진,경기도 고양시 덕양구 원당로33번길 29 (주교동),경기도 고양시 덕양구 주교동 605번지 4호  , 031- 605-9027
유흥주점,화초원,"경기도 고양시 일산동구 강석로 147, 지하1(일부)층 (마두동)",경기도 고양시 일산동구 마두동 799번지 3호 지하1층일부 , 031- 901-3686
유흥주점,야시노래빠,"경기도 고양시 일산동구 중앙로 1192 (마두동,번지 지하1층)",경기도 고양시 일산동구 마두동 798번지 5호 번지 지하1층 , 031- 903-8922
유흥주점,키스노래빠,"경기도 고양시 일산서구 고양대로672번길 8 (일산동,번지 1층)",경기도 고양시 일산서구 일산동 627번지 26호 번지 1층 , 031- 904-7848
유흥주점,채플린,"경기도 고양시 일산동구 중앙로 1194, 지하1층 (마두동)",경기도 고양시 일산동구 마두동 798번지 3호 외1필지 지하1층 , 031- 905-2620
유흥주점,알리바바,"경기도 고양시 일산동구 장백로 38, 2층 일부호 (백석동)",경기도 고양시 일산동구 백석동 1306번지 1호 2층일부 , 031- 905-7247
유흥주점,샴푸나이트크럽,"경기도 고양시 일산동구 중앙로 1160, 9층 전체, 10층 일부호 (마두동)",경기도 고양시 일산동구 마두동 805번지 1호  , 031- 906-1900
유흥주점,궁,"경기도 고양시 일산동구 장백로 36 (백석동, 지하1층)",경기도 고양시 일산동구 백석동 1306번지 2호 지하1층 , 031- 906-9097
유흥주점,마두S노래타운,"경기도 고양시 일산동구 중앙로 1172, 지하1층 비108호~비114호 (마두동, 일산그랜드프라자빌딩)",경기도 고양시 일산동구 마두동 802번지 1호 일산그랜드프라자빌딩 지하1층 비108호~비114호 , 031- 907-2827
유흥주점,세븐노래타운,"경기도 고양시 일산서구 주엽로 150, 자유프라자 지하 1층 2,3,4호 (주엽동)","경기도 고양시 일산서구 주엽동 18번지 자유프라자 지하1층 2,3,4호", 031- 911-4009
유흥주점,거북이,"경기도 고양시 일산서구 강성로 147 (주엽동,번지 동문씨티프라자 지하1층137호)",경기도 고양시 일산서구 주엽동 18번지 1호 번지 동문씨티프라자 지하1층137호 , 031- 915-9007
유흥주점,노다지,"경기도 고양시 일산서구 강성로 145 (주엽동,번지 지하1층)",경기도 고양시 일산서구 주엽동 19번지 번지 지하1층 , 031- 917-4087
유흥주점,앰비씨(MBC)클럽,"경기도 고양시 일산서구 강성로 101 (주엽동,번지 제일프라자205,206호)","경기도 고양시 일산서구 주엽동 72번지 번지 제일프라자205,206호 ", 031- 918-5889
유흥주점,아방궁,"경기도 고양시 일산서구 중앙로 1443 (주엽동, 가람상가지하112,3,4,6,7,20호)","경기도 고양시 일산서구 주엽동 110번지 2호 가람상가지하112,3,4,6,7,20호 ", 031- 919-0159
