등록일자,업종,상호,소재지(도로명),
2017-10-23,국외여행업,(주)제이앤커뮤니티,"경기도 고양시 일산동구 정발산로 15, 703호 (장항동, 드림월드빌딩)",
2017-11-06,국외여행업,주식회사 유레일투어패스,"경기도 고양시 일산동구 정발산로 24, T3-617호 (장항동)",
2017-11-13,국외여행업,주식회사 로마달구지여행,"경기도 고양시 일산동구 정발산로 24, T3-617호 (장항동)",
2015-11-10,국외여행업,(주)인스앤,"경기도 고양시 일산동구 호수로 336, 103동 1304호 (백석동)",
2017-12-05,국외여행업,(주)대신해운항공,"경기도 고양시 일산동구 무궁화로 20-38, 406호 (장항동)",
2018-01-17,국외여행업,좋은 친구들,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 208호 (장항동)",
2018-02-12,국외여행업,주식회사 한이,"경기도 고양시 덕양구 화신로260번길 26, 동민프라자빌딩 지층 101-가호 (화정동)",
2007-09-17,국외여행업,나라여행,"경기도 고양시 덕양구 권율대로 894, 새한일프라자 301호 (신원동)",
2012-02-13,국외여행업,모아투어,"경기도 고양시 일산동구 위시티로 81, 풍산트윈시티 2동 202호 (식사동)",
2018-03-16,국외여행업,블루오션다이브&트래블,경기도 고양시 일산서구 대산로223번길 8-24 (대화동),
2018-04-10,국외여행업,주식회사 케이티엠,"경기도 고양시 일산서구 강성로 147, 동문씨티프라자 505-4호 (주엽동)",
2018-04-19,국외여행업,다이렉트엠,"경기도 고양시 덕양구 은빛로 41, 대경프라자 910호 (화정동)",
2018-04-25,국외여행업,코리아크루즈 여행사,"경기도 고양시 일산동구 호수로 672, 대우메종리브르 13층 1317호 (장항동)",
2018-04-25,국외여행업,주식회사 네이처포스트,"경기도 고양시 일산동구 정발산로 24, 웨스턴돔1 T2-708호 (장항동)",
2018-05-15,국외여행업,가자투어,"경기도 고양시 덕양구 중앙로 440, 센타프라자 501호 (행신동)",
2014-02-28,국외여행업,(주)그레이트북스,"경기도 고양시 일산동구 일산로 207, 신현대쇼핑타운 402호 (마두동)",
2018-05-24,국외여행업,민투어(MEAN TOUR),"경기도 고양시 일산동구 중앙로 1305-30, 마이다스 오피스텔 920호 (장항동)",
2018-07-02,국외여행업,NS투어,"경기도 고양시 일산서구 산현로78번길 23, 선명프라자 2층 206-2호 (일산동)",
2018-07-19,국외여행업,오모로이재팬,"경기도 고양시 일산동구 강송로87번길 53-7, 지층 101호 (백석동)",
2018-08-31,국외여행업,주식회사 싱글벙글여행사,"경기도 고양시 일산서구 덕이로 30-20, 양우씨네플렉스 3이-109호호 (덕이동)",
2018-09-27,국외여행업,바나바여행사(BANABAS TOUR),"경기도 고양시 덕양구 호국로 1132, 2층 (원당동)",
2018-10-02,국외여행업,삼송탑,"경기도 고양시 덕양구 통일로 343, 706호 (신원동)",
2018-10-04,국외여행업,에스제이탑투어,"경기도 고양시 일산서구 덕산로244번길 59-14, 1층 (덕이동)",
2016-04-29,국외여행업,(주)스타인월드,"경기도 고양시 일산동구 호수로 336, 브라운스톤 102동 217호 (백석동)",
2018-10-22,국외여행업,주식회사 산책,"경기도 고양시 덕양구 무원로 6, 무원빌딩 4층 402-1호 (행신동)",
2016-09-12,국외여행업,(주)엔제이티앤알,"경기도 고양시 일산동구 호수로 336, 브라운스톤 103동 1011호 (백석동)",
2018-12-21,국외여행업,메트로퀵투어,경기도 고양시 일산동구 성현로 369 (문봉동),
2019-02-13,국외여행업,안나스투어 주식회사,"경기도 고양시 일산동구 중앙로 1227, 동양메이저빌오피스텔 3층 307호 (장항동)",
