시설번호,놀이시설명,우편번호,주 소,설치일자,설치장소,운영구분,지역분류,민공구분
518368,하늘마을1단지 주공아파트 관리실옆 놀이터,10355,경기도 고양시 일산동구 중산로 99 (중산동),2007-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518369,하늘마을1단지 주공아파트 110동 옆 놀이터,10355,경기도 고양시 일산동구 중산로 99 (중산동),2007-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518370,하늘마을4단지 주공아파트 401동 옆 놀이터,10311,경기도 고양시 일산동구 하늘마을1로 9 (중산동),2007-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518371,하늘마을4단지 주공아파트 402동 옆 놀이터,10311,경기도 고양시 일산동구 하늘마을1로 9 (중산동),2007-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518373,하늘마을4단지 주공아파트 404동 옆 놀이터,10311,경기도 고양시 일산동구 하늘마을1로 9 (중산동),2007-01-01,주택단지,운영,경기 고양시 일산동구 중산동,민간
518378,숲속마을3단지 주공아파트 놀이터,10307,경기도 고양시 일산동구 숲속마을로 67 (풍동),2013-05-01,주택단지,운영,경기 고양시 일산동구 풍동,민간
518379,숲속마을8단지 주공아파트 807동 옆 놀이터(관리동),10306,"경기도 고양시 일산동구 숲속마을1로 115 (풍동, 숲속마을8단지아파트)",2006-07-10,주택단지,운영,경기 고양시 일산동구 풍동,민간
518380,숲속마을8단지 주공아파트 803동 옆 놀이터,10306,"경기도 고양시 일산동구 숲속마을1로 115 (풍동, 숲속마을8단지아파트)",2006-07-10,주택단지,운영,경기 고양시 일산동구 풍동,민간
518382,숲속마을8단지 주공아파트 806동 옆 놀이터,10306,"경기도 고양시 일산동구 숲속마을1로 115 (풍동, 숲속마을8단지아파트)",2006-07-10,주택단지,운영,경기 고양시 일산동구 풍동,민간
518384,숲속마을4단지 주공아파트 407동 옆 놀이터,10305,"경기도 고양시 일산동구 숲속마을1로 86 (풍동, 숲속마을4단지아파트)",2006-07-27,주택단지,운영,경기 고양시 일산동구 풍동,민간
518386,숲속마을4단지 주공아파트 409동 옆 놀이터,10305,"경기도 고양시 일산동구 숲속마을1로 86 (풍동, 숲속마을4단지아파트)",2007-08-27,주택단지,운영,경기 고양시 일산동구 풍동,민간
518389,숲속마을5단지 풍동아이파크아파트 놀이터,10306,경기도 고양시 일산동구 숲속마을1로 85 (풍동),2006-01-01,주택단지,운영,경기 고양시 일산동구 풍동,민간
